,species,n,col.n,empirical_type_raw,empirical_type_curated,extrapolated_type,sd_col,mean_col
1,Aa achalensis,1,0,OM,OM,OM,NA,NA
2,Abarema jupunba,1,1,AM,AM,AM,NA,-2.155160259
3,Abelmoschus esculentus,2,0,AM,AM,AM,NA,NA
4,Abelmoschus manihot,1,0,AM,AM,AM,NA,NA
5,Abies,3,0,EcM,EcM,EcM,NA,NA
6,Abies alba,6,0,EcM,EcM,EcM,NA,NA
7,Abies amabilis,2,0,EcM,EcM,EcM,NA,NA
8,Abies balsamea,7,0,EcM,EcM,EcM,NA,NA
9,Abies balsamea var. phanerolepis,1,0,EcM,EcM,EcM,NA,NA
10,Abies cephalonica,1,0,EcM,EcM,EcM,NA,NA
11,Abies cilicica,2,0,EcM,EcM,EcM,NA,NA
12,Abies concolor,5,0,EcM,EcM,EcM,NA,NA
13,Abies fargesii,3,0,EcM,EcM,EcM,NA,NA
14,Abies firma,5,0,NM-EcM,EcM,EcM,NA,NA
15,Abies fraseri,1,0,EcM,EcM,EcM,NA,NA
16,Abies grandis,4,0,EcM,EcM,EcM,NA,NA
17,Abies holophylla,3,0,EcM,EcM,EcM,NA,NA
18,Abies homolepis,1,0,EcM,EcM,EcM,NA,NA
19,Abies kawakamii,1,0,EcM,EcM,EcM,NA,NA
20,Abies koreana,1,0,EcM,EcM,EcM,NA,NA
21,Abies lasiocarpa,7,0,EcM,EcM,EcM,NA,NA
22,Abies lasiocarpa var. arizonica,1,0,EcM,EcM,EcM,NA,NA
23,Abies magnifica,2,0,EcM,EcM,EcM,NA,NA
24,Abies magnifica var. shastensis,1,0,EcM,EcM,EcM,NA,NA
25,Abies nephrolepis,3,0,EcM,EcM,EcM,NA,NA
26,Abies nordmanniana,7,0,EcM,EcM,EcM,NA,NA
27,Abies numidica,1,0,EcM,EcM,EcM,NA,NA
28,Abies pindrow,3,0,EcM,EcM,EcM,NA,NA
29,Abies pindrow var. brevifolia,1,0,EcM,EcM,EcM,NA,NA
30,Abies pinsapo,1,0,EcM,EcM,EcM,NA,NA
31,Abies procera,2,0,EcM,EcM,EcM,NA,NA
32,Abies sachalinensis,6,0,EcM,EcM,EcM,NA,NA
33,Abies sachalinensis var. mayriana,1,0,EcM,EcM,EcM,NA,NA
34,Abies sachalinensis var. nemorensis,1,0,EcM,EcM,EcM,NA,NA
35,Abies sibirica,15,0,EcM,EcM,EcM,NA,NA
36,Abies veitchii,2,0,EcM,EcM,EcM,NA,NA
37,Abronia maritima,1,0,AM,AM,NM-AM,NA,NA
38,Abronia umbellata,1,0,AM,AM,NM-AM,NA,NA
39,Abrus precatorius,5,4,AM,AM,AM,1.783959967,0.956881547
40,Abutilon,1,0,AM,AM,AM,NA,NA
41,Abutilon ýýhybridum,1,0,AM,AM,AM,NA,NA
42,Abutilon californicum,2,0,AM,AM,AM,NA,NA
43,Abutilon grandifolium,3,3,AM,AM,AM,0.451938558,-3.070759929
44,Abutilon incanum,1,1,AM,AM,AM,NA,-1.872090669
45,Abutilon indicum,8,3,NM-AM,AM,AM,1.350628849,-0.989492134
46,Abutilon indicum subsp. albescens,1,0,AM,,AM,NA,NA
47,Abutilon otocarpum,1,0,AM,AM,AM,NA,NA
48,Abutilon pannosum,2,2,AM,AM,AM,0.419214344,-2.325347254
49,Abutilon theophrasti,4,2,AM,AM,AM,0.901707233,-0.25292896
50,Acacia alata,3,3,AM,AM,EcM-AM,0.990701709,-1.000536973
51,Acacia alleniana,1,0,AM,AM,EcM-AM,NA,NA
52,Acacia ampliceps,1,0,AM,,EcM-AM,NA,NA
53,Acacia ancistrocarpa,1,0,AM,AM,EcM-AM,NA,NA
54,Acacia aneura,5,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
55,Acacia armata,2,0,,,EcM-AM,NA,NA
56,Acacia aulacocarpa,4,1,EcM-AM,EcM-AM,EcM-AM,NA,-3.331686778
57,Acacia auriculiformis,23,4,EcM-AM,EcM-AM,EcM-AM,0.910563037,-0.712903724
58,Acacia bivenosa,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
59,Acacia calligera,12,3,EcM-AM,EcM-AM,EcM-AM,1.769059822,-2.310319613
60,Acacia chisholmii,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
61,Acacia cincinnata,1,0,AM,AM,EcM-AM,NA,NA
62,Acacia cochliacantha,1,0,AM,AM,EcM-AM,NA,NA
63,Acacia concurrens,2,0,AM,AM,EcM-AM,NA,NA
64,Acacia confusa,3,0,NM-AM,,EcM-AM,NA,NA
65,Acacia coriacea,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
66,Acacia cowleana,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
67,Acacia crassicarpa,1,0,EcM-AM,EcM-AM,EcM-AM,NA,NA
68,Acacia cyclops,1,0,AM,AM,EcM-AM,NA,NA
69,Acacia dealbata,7,2,EcM-AM,EcM-AM,EcM-AM,0.266234134,-0.264292574
